"REF_DATE","GEO","DGUID","North American Industry Classification System (NAICS)","Canadian and foreign direct investment","Countries or regions","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2009","Canada","2016A000011124","Primary metal manufacturing [331]","Foreign direct investment in Canada - Total Book Value","Other America","Dollars","81","millions","6","v41661388","1.34.2.3","","x","","","0"
"2009","Canada","2016A000011124","Primary metal manufacturing [331]","Foreign direct investment in Canada - Total Book Value","Asia and Oceania","Dollars","81","millions","6","v41661389","1.34.2.4","","x","","","0"
"2009","Canada","2016A000011124","Primary metal manufacturing [331]","Foreign direct investment in Canada - Total Book Value","Europe","Dollars","81","millions","6","v41661390","1.34.2.5","29607","","","","0"
"2009","Canada","2016A000011124","Primary metal manufacturing [331]","Foreign direct investment in Canada - Total Book Value","Other countries","Dollars","81","millions","6","v41661391","1.34.2.6","","x","","","0"
"2009","Canada","2016A000011124","Fabricated metal product manufacturing [332]","Canadian direct investment abroad - Total Book Value","Total, all countries","Dollars","81","millions","6","v41661392","1.35.1.1","3420","","","","0"
"2009","Canada","2016A000011124","Fabricated metal product manufacturing [332]","Canadian direct investment abroad - Total Book Value","United States","Dollars","81","millions","6","v41661393","1.35.1.2","1885","","","","0"
"2009","Canada","2016A000011124","Fabricated metal product manufacturing [332]","Canadian direct investment abroad - Total Book Value","Other America","Dollars","81","millions","6","v41661394","1.35.1.3","163","","","","0"
"2009","Canada","2016A000011124","Fabricated metal product manufacturing [332]","Canadian direct investment abroad - Total Book Value","Asia and Oceania","Dollars","81","millions","6","v41661395","1.35.1.4","","x","","","0"
"2009","Canada","2016A000011124","Fabricated metal product manufacturing [332]","Canadian direct investment abroad - Total Book Value","Europe","Dollars","81","millions","6","v41661396","1.35.1.5","1356","","","","0"
"2009","Canada","2016A000011124","Fabricated metal product manufacturing [332]","Canadian direct investment abroad - Total Book Value","Other countries","Dollars","81","millions","6","v41661397","1.35.1.6","","x","","","0"
"2009","Canada","2016A000011124","Fabricated metal product manufacturing [332]","Foreign direct investment in Canada - Total Book Value","Total, all countries","Dollars","81","millions","6","v41661398","1.35.2.1","2473","","","","0"
"2009","Canada","2016A000011124","Fabricated metal product manufacturing [332]","Foreign direct investment in Canada - Total Book Value","United States","Dollars","81","millions","6","v41661399","1.35.2.2","","x","","","0"
"2009","Canada","2016A000011124","Fabricated metal product manufacturing [332]","Foreign direct investment in Canada - Total Book Value","Other America","Dollars","81","millions","6","v41661400","1.35.2.3","","x","","","0"
"2009","Canada","2016A000011124","Fabricated metal product manufacturing [332]","Foreign direct investment in Canada - Total Book Value","Asia and Oceania","Dollars","81","millions","6","v41661401","1.35.2.4","90","","","","0"
"2009","Canada","2016A000011124","Fabricated metal product manufacturing [332]","Foreign direct investment in Canada - Total Book Value","Europe","Dollars","81","millions","6","v41661402","1.35.2.5","","x","","","0"
"2009","Canada","2016A000011124","Machinery manufacturing [333]","Canadian direct investment abroad - Total Book Value","Total, all countries","Dollars","81","millions","6","v41661403","1.36.1.1","2919","","","","0"
"2009","Canada","2016A000011124","Machinery manufacturing [333]","Canadian direct investment abroad - Total Book Value","United States","Dollars","81","millions","6","v41661404","1.36.1.2","1140","","","","0"
"2009","Canada","2016A000011124","Machinery manufacturing [333]","Canadian direct investment abroad - Total Book Value","Other America","Dollars","81","millions","6","v41661405","1.36.1.3","","x","","","0"
"2009","Canada","2016A000011124","Machinery manufacturing [333]","Canadian direct investment abroad - Total Book Value","Asia and Oceania","Dollars","81","millions","6","v41661406","1.36.1.4","142","","","","0"
"2009","Canada","2016A000011124","Machinery manufacturing [333]","Canadian direct investment abroad - Total Book Value","Europe","Dollars","81","millions","6","v41661407","1.36.1.5","881","","","","0"
"2009","Canada","2016A000011124","Machinery manufacturing [333]","Canadian direct investment abroad - Total Book Value","Other countries","Dollars","81","millions","6","v41661408","1.36.1.6","","x","","","0"
"2009","Canada","2016A000011124","Machinery manufacturing [333]","Foreign direct investment in Canada - Total Book Value","Total, all countries","Dollars","81","millions","6","v41661409","1.36.2.1","3759","","","","0"
"2009","Canada","2016A000011124","Machinery manufacturing [333]","Foreign direct investment in Canada - Total Book Value","United States","Dollars","81","millions","6","v41661410","1.36.2.2","2609","","","","0"
"2009","Canada","2016A000011124","Machinery manufacturing [333]","Foreign direct investment in Canada - Total Book Value","Other America","Dollars","81","millions","6","v41661411","1.36.2.3","","x","","","0"
"2009","Canada","2016A000011124","Machinery manufacturing [333]","Foreign direct investment in Canada - Total Book Value","Asia and Oceania","Dollars","81","millions","6","v41661412","1.36.2.4","257","","","","0"
"2009","Canada","2016A000011124","Machinery manufacturing [333]","Foreign direct investment in Canada - Total Book Value","Europe","Dollars","81","millions","6","v41661413","1.36.2.5","","x","","","0"
"2009","Canada","2016A000011124","Machinery manufacturing [333]","Foreign direct investment in Canada - Total Book Value","Other countries","Dollars","81","millions","6","v41661414","1.36.2.6","","x","","","0"
"2009","Canada","2016A000011124","Computer and electronic product manufacturing [334]","Canadian direct investment abroad - Total Book Value","Total, all countries","Dollars","81","millions","6","v41661415","1.37.1.1","6901","","","","0"
"2009","Canada","2016A000011124","Computer and electronic product manufacturing [334]","Canadian direct investment abroad - Total Book Value","United States","Dollars","81","millions","6","v41661416","1.37.1.2","3955","","","","0"
"2009","Canada","2016A000011124","Computer and electronic product manufacturing [334]","Canadian direct investment abroad - Total Book Value","Other America","Dollars","81","millions","6","v41661417","1.37.1.3","","x","","","0"
"2009","Canada","2016A000011124","Computer and electronic product manufacturing [334]","Canadian direct investment abroad - Total Book Value","Asia and Oceania","Dollars","81","millions","6","v41661418","1.37.1.4","1658","","","","0"
"2009","Canada","2016A000011124","Computer and electronic product manufacturing [334]","Canadian direct investment abroad - Total Book Value","Europe","Dollars","81","millions","6","v41661419","1.37.1.5","1155","","","","0"
"2009","Canada","2016A000011124","Computer and electronic product manufacturing [334]","Canadian direct investment abroad - Total Book Value","Other countries","Dollars","81","millions","6","v41661420","1.37.1.6","","x","","","0"
"2009","Canada","2016A000011124","Computer and electronic product manufacturing [334]","Foreign direct investment in Canada - Total Book Value","Total, all countries","Dollars","81","millions","6","v41661421","1.37.2.1","4475","","","","0"
"2009","Canada","2016A000011124","Computer and electronic product manufacturing [334]","Foreign direct investment in Canada - Total Book Value","United States","Dollars","81","millions","6","v41661422","1.37.2.2","3460","","","","0"
"2009","Canada","2016A000011124","Computer and electronic product manufacturing [334]","Foreign direct investment in Canada - Total Book Value","Other America","Dollars","81","millions","6","v41661423","1.37.2.3","","x","","","0"
"2009","Canada","2016A000011124","Computer and electronic product manufacturing [334]","Foreign direct investment in Canada - Total Book Value","Asia and Oceania","Dollars","81","millions","6","v41661424","1.37.2.4","1","","","","0"
"2009","Canada","2016A000011124","Computer and electronic product manufacturing [334]","Foreign direct investment in Canada - Total Book Value","Europe","Dollars","81","millions","6","v41661425","1.37.2.5","1015","","","","0"
"2009","Canada","2016A000011124","Computer and electronic product manufacturing [334]","Foreign direct investment in Canada - Total Book Value","Other countries","Dollars","81","millions","6","v41661426","1.37.2.6","","x","","","0"
"2009","Canada","2016A000011124","Electrical equipment, appliance and component manufacturing [335]","Canadian direct investment abroad - Total Book Value","Total, all countries","Dollars","81","millions","6","v41661427","1.38.1.1","1330","","","","0"
"2009","Canada","2016A000011124","Electrical equipment, appliance and component manufacturing [335]","Canadian direct investment abroad - Total Book Value","United States","Dollars","81","millions","6","v41661428","1.38.1.2","","x","","","0"
"2009","Canada","2016A000011124","Electrical equipment, appliance and component manufacturing [335]","Canadian direct investment abroad - Total Book Value","Other America","Dollars","81","millions","6","v41661429","1.38.1.3","","x","","","0"
"2009","Canada","2016A000011124","Electrical equipment, appliance and component manufacturing [335]","Canadian direct investment abroad - Total Book Value","Asia and Oceania","Dollars","81","millions","6","v41661430","1.38.1.4","275","","","","0"
"2009","Canada","2016A000011124","Electrical equipment, appliance and component manufacturing [335]","Canadian direct investment abroad - Total Book Value","Europe","Dollars","81","millions","6","v41661431","1.38.1.5","144","","","","0"
"2009","Canada","2016A000011124","Electrical equipment, appliance and component manufacturing [335]","Canadian direct investment abroad - Total Book Value","Other countries","Dollars","81","millions","6","v41661432","1.38.1.6","","x","","","0"
"2009","Canada","2016A000011124","Electrical equipment, appliance and component manufacturing [335]","Foreign direct investment in Canada - Total Book Value","Total, all countries","Dollars","81","millions","6","v41661433","1.38.2.1","3207","","","","0"
"2009","Canada","2016A000011124","Electrical equipment, appliance and component manufacturing [335]","Foreign direct investment in Canada - Total Book Value","United States","Dollars","81","millions","6","v41661434","1.38.2.2","2307","","","","0"
"2009","Canada","2016A000011124","Electrical equipment, appliance and component manufacturing [335]","Foreign direct investment in Canada - Total Book Value","Other America","Dollars","81","millions","6","v41661435","1.38.2.3","","x","","","0"
"2009","Canada","2016A000011124","Electrical equipment, appliance and component manufacturing [335]","Foreign direct investment in Canada - Total Book Value","Asia and Oceania","Dollars","81","millions","6","v41661436","1.38.2.4","","x","","","0"
"2009","Canada","2016A000011124","Electrical equipment, appliance and component manufacturing [335]","Foreign direct investment in Canada - Total Book Value","Europe","Dollars","81","millions","6","v41661437","1.38.2.5","","x","","","0"
"2009","Canada","2016A000011124","Electrical equipment, appliance and component manufacturing [335]","Foreign direct investment in Canada - Total Book Value","Other countries","Dollars","81","millions","6","v41661438","1.38.2.6","","..","","","0"
"2009","Canada","2016A000011124","Transportation equipment manufacturing [336]","Canadian direct investment abroad - Total Book Value","Total, all countries","Dollars","81","millions","6","v20143888","1.7.1.1","11996","","","","0"
"2009","Canada","2016A000011124","Transportation equipment manufacturing [336]","Canadian direct investment abroad - Total Book Value","United States","Dollars","81","millions","6","v41661541","1.7.1.2","4092","","","","0"
"2009","Canada","2016A000011124","Transportation equipment manufacturing [336]","Canadian direct investment abroad - Total Book Value","Other America","Dollars","81","millions","6","v41661542","1.7.1.3","992","","","","0"
"2009","Canada","2016A000011124","Transportation equipment manufacturing [336]","Canadian direct investment abroad - Total Book Value","Asia and Oceania","Dollars","81","millions","6","v41661543","1.7.1.4","496","","","","0"
"2009","Canada","2016A000011124","Transportation equipment manufacturing [336]","Canadian direct investment abroad - Total Book Value","Europe","Dollars","81","millions","6","v41661544","1.7.1.5","6415","","","","0"
"2009","Canada","2016A000011124","Transportation equipment manufacturing [336]","Canadian direct investment abroad - Total Book Value","Other countries","Dollars","81","millions","6","v41661545","1.7.1.6","","x","","","0"
"2009","Canada","2016A000011124","Transportation equipment manufacturing [336]","Foreign direct investment in Canada - Total Book Value","Total, all countries","Dollars","81","millions","6","v20143889","1.7.2.1","18334","","","","0"
"2009","Canada","2016A000011124","Transportation equipment manufacturing [336]","Foreign direct investment in Canada - Total Book Value","United States","Dollars","81","millions","6","v41661546","1.7.2.2","13518","","","","0"
"2009","Canada","2016A000011124","Transportation equipment manufacturing [336]","Foreign direct investment in Canada - Total Book Value","Other America","Dollars","81","millions","6","v41661547","1.7.2.3","","x","","","0"
"2009","Canada","2016A000011124","Transportation equipment manufacturing [336]","Foreign direct investment in Canada - Total Book Value","Asia and Oceania","Dollars","81","millions","6","v41661548","1.7.2.4","3687","","","","0"
"2009","Canada","2016A000011124","Transportation equipment manufacturing [336]","Foreign direct investment in Canada - Total Book Value","Europe","Dollars","81","millions","6","v41661549","1.7.2.5","","x","","","0"
"2009","Canada","2016A000011124","Transportation equipment manufacturing [336]","Foreign direct investment in Canada - Total Book Value","Other countries","Dollars","81","millions","6","v41661550","1.7.2.6","","x","","","0"
"2009","Canada","2016A000011124","Furniture and related product manufacturing [337]","Canadian direct investment abroad - Total Book Value","Total, all countries","Dollars","81","millions","6","v41661439","1.39.1.1","1578","","","","0"
"2009","Canada","2016A000011124","Furniture and related product manufacturing [337]","Canadian direct investment abroad - Total Book Value","United States","Dollars","81","millions","6","v41661440","1.39.1.2","816","","","","0"
"2009","Canada","2016A000011124","Furniture and related product manufacturing [337]","Canadian direct investment abroad - Total Book Value","Other America","Dollars","81","millions","6","v41661441","1.39.1.3","","x","","","0"
"2009","Canada","2016A000011124","Furniture and related product manufacturing [337]","Canadian direct investment abroad - Total Book Value","Asia and Oceania","Dollars","81","millions","6","v41661442","1.39.1.4","","x","","","0"
"2009","Canada","2016A000011124","Furniture and related product manufacturing [337]","Canadian direct investment abroad - Total Book Value","Europe","Dollars","81","millions","6","v41661443","1.39.1.5","728","","","","0"
"2009","Canada","2016A000011124","Furniture and related product manufacturing [337]","Foreign direct investment in Canada - Total Book Value","Total, all countries","Dollars","81","millions","6","v41661444","1.39.2.1","464","","","","0"
"2009","Canada","2016A000011124","Furniture and related product manufacturing [337]","Foreign direct investment in Canada - Total Book Value","United States","Dollars","81","millions","6","v41661445","1.39.2.2","","x","","","0"
"2009","Canada","2016A000011124","Furniture and related product manufacturing [337]","Foreign direct investment in Canada - Total Book Value","Asia and Oceania","Dollars","81","millions","6","v41661446","1.39.2.4","","x","","","0"
"2009","Canada","2016A000011124","Furniture and related product manufacturing [337]","Foreign direct investment in Canada - Total Book Value","Europe","Dollars","81","millions","6","v41661447","1.39.2.5","17","","","","0"
"2009","Canada","2016A000011124","Furniture and related product manufacturing [337]","Foreign direct investment in Canada - Total Book Value","Other countries","Dollars","81","millions","6","v41661448","1.39.2.6","","..","","","0"
"2009","Canada","2016A000011124","Miscellaneous manufacturing [339]","Canadian direct investment abroad - Total Book Value","Total, all countries","Dollars","81","millions","6","v41661449","1.40.1.1","775","","","","0"
"2009","Canada","2016A000011124","Miscellaneous manufacturing [339]","Canadian direct investment abroad - Total Book Value","United States","Dollars","81","millions","6","v41661450","1.40.1.2","426","","","","0"
"2009","Canada","2016A000011124","Miscellaneous manufacturing [339]","Canadian direct investment abroad - Total Book Value","Other America","Dollars","81","millions","6","v41661451","1.40.1.3","31","","","","0"
"2009","Canada","2016A000011124","Miscellaneous manufacturing [339]","Canadian direct investment abroad - Total Book Value","Asia and Oceania","Dollars","81","millions","6","v41661452","1.40.1.4","","x","","","0"
"2009","Canada","2016A000011124","Miscellaneous manufacturing [339]","Canadian direct investment abroad - Total Book Value","Europe","Dollars","81","millions","6","v41661453","1.40.1.5","","x","","","0"
"2009","Canada","2016A000011124","Miscellaneous manufacturing [339]","Canadian direct investment abroad - Total Book Value","Other countries","Dollars","81","millions","6","v41661454","1.40.1.6","","x","","","0"
"2009","Canada","2016A000011124","Miscellaneous manufacturing [339]","Foreign direct investment in Canada - Total Book Value","Total, all countries","Dollars","81","millions","6","v41661455","1.40.2.1","1224","","","","0"
"2009","Canada","2016A000011124","Miscellaneous manufacturing [339]","Foreign direct investment in Canada - Total Book Value","United States","Dollars","81","millions","6","v41661456","1.40.2.2","1013","","","","0"
"2009","Canada","2016A000011124","Miscellaneous manufacturing [339]","Foreign direct investment in Canada - Total Book Value","Other America","Dollars","81","millions","6","v41661457","1.40.2.3","","x","","","0"
"2009","Canada","2016A000011124","Miscellaneous manufacturing [339]","Foreign direct investment in Canada - Total Book Value","Asia and Oceania","Dollars","81","millions","6","v41661458","1.40.2.4","","x","","","0"
"2009","Canada","2016A000011124","Miscellaneous manufacturing [339]","Foreign direct investment in Canada - Total Book Value","Europe","Dollars","81","millions","6","v41661459","1.40.2.5","133","","","","0"
"2009","Canada","2016A000011124","Miscellaneous manufacturing [339]","Foreign direct investment in Canada - Total Book Value","Other countries","Dollars","81","millions","6","v41661460","1.40.2.6","","..","","","0"
"2009","Canada","2016A000011124","Wholesale trade [41]","Canadian direct investment abroad - Total Book Value","Total, all countries","Dollars","81","millions","6","v41661461","1.41.1.1","7030","","","","0"
"2009","Canada","2016A000011124","Wholesale trade [41]","Canadian direct investment abroad - Total Book Value","United States","Dollars","81","millions","6","v41661462","1.41.1.2","3185","","","","0"
"2009","Canada","2016A000011124","Wholesale trade [41]","Canadian direct investment abroad - Total Book Value","Other America","Dollars","81","millions","6","v41661463","1.41.1.3","","x","","","0"
"2009","Canada","2016A000011124","Wholesale trade [41]","Canadian direct investment abroad - Total Book Value","Asia and Oceania","Dollars","81","millions","6","v41661464","1.41.1.4","414","","","","0"
"2009","Canada","2016A000011124","Wholesale trade [41]","Canadian direct investment abroad - Total Book Value","Europe","Dollars","81","millions","6","v41661465","1.41.1.5","2585","","","","0"
"2009","Canada","2016A000011124","Wholesale trade [41]","Canadian direct investment abroad - Total Book Value","Other countries","Dollars","81","millions","6","v41661466","1.41.1.6","","x","","","0"
"2009","Canada","2016A000011124","Wholesale trade [41]","Foreign direct investment in Canada - Total Book Value","Total, all countries","Dollars","81","millions","6","v41661467","1.41.2.1","45918","","","","0"
"2009","Canada","2016A000011124","Wholesale trade [41]","Foreign direct investment in Canada - Total Book Value","United States","Dollars","81","millions","6","v41661468","1.41.2.2","24553","","","","0"
"2009","Canada","2016A000011124","Wholesale trade [41]","Foreign direct investment in Canada - Total Book Value","Other America","Dollars","81","millions","6","v41661469","1.41.2.3","","x","","","0"
"2009","Canada","2016A000011124","Wholesale trade [41]","Foreign direct investment in Canada - Total Book Value","Asia and Oceania","Dollars","81","millions","6","v41661470","1.41.2.4","3663","","","","0"
"2009","Canada","2016A000011124","Wholesale trade [41]","Foreign direct investment in Canada - Total Book Value","Europe","Dollars","81","millions","6","v41661471","1.41.2.5","17390","","","","0"
"2009","Canada","2016A000011124","Wholesale trade [41]","Foreign direct investment in Canada - Total Book Value","Other countries","Dollars","81","millions","6","v41661472","1.41.2.6","","x","","","0"
"2009","Canada","2016A000011124","Retail trade [44-45]","Canadian direct investment abroad - Total Book Value","Total, all countries","Dollars","81","millions","6","v41661473","1.42.1.1","6088","","","","0"
"2009","Canada","2016A000011124","Retail trade [44-45]","Canadian direct investment abroad - Total Book Value","United States","Dollars","81","millions","6","v41661474","1.42.1.2","2341","","","","0"
"2009","Canada","2016A000011124","Retail trade [44-45]","Canadian direct investment abroad - Total Book Value","Other America","Dollars","81","millions","6","v41661475","1.42.1.3","","x","","","0"
"2009","Canada","2016A000011124","Retail trade [44-45]","Canadian direct investment abroad - Total Book Value","Asia and Oceania","Dollars","81","millions","6","v41661476","1.42.1.4","","x","","","0"
"2009","Canada","2016A000011124","Retail trade [44-45]","Canadian direct investment abroad - Total Book Value","Europe","Dollars","81","millions","6","v41661477","1.42.1.5","110","","","","0"
"2009","Canada","2016A000011124","Retail trade [44-45]","Foreign direct investment in Canada - Total Book Value","Total, all countries","Dollars","81","millions","6","v41661478","1.42.2.1","15541","","","","0"
"2009","Canada","2016A000011124","Retail trade [44-45]","Foreign direct investment in Canada - Total Book Value","United States","Dollars","81","millions","6","v41661479","1.42.2.2","13862","","","","0"
"2009","Canada","2016A000011124","Retail trade [44-45]","Foreign direct investment in Canada - Total Book Value","Other America","Dollars","81","millions","6","v41661480","1.42.2.3","","x","","","0"
"2009","Canada","2016A000011124","Retail trade [44-45]","Foreign direct investment in Canada - Total Book Value","Asia and Oceania","Dollars","81","millions","6","v41661481","1.42.2.4","","x","","","0"
"2009","Canada","2016A000011124","Retail trade [44-45]","Foreign direct investment in Canada - Total Book Value","Europe","Dollars","81","millions","6","v41661482","1.42.2.5","1499","","","","0"
"2009","Canada","2016A000011124","Transportation and warehousing [48-49]","Canadian direct investment abroad - Total Book Value","Total, all countries","Dollars","81","millions","6","v41661483","1.43.1.1","22215","","","","0"
"2009","Canada","2016A000011124","Transportation and warehousing [48-49]","Canadian direct investment abroad - Total Book Value","United States","Dollars","81","millions","6","v41661484","1.43.1.2","14949","","","","0"
"2009","Canada","2016A000011124","Transportation and warehousing [48-49]","Canadian direct investment abroad - Total Book Value","Other America","Dollars","81","millions","6","v41661485","1.43.1.3","850","","","","0"
"2009","Canada","2016A000011124","Transportation and warehousing [48-49]","Canadian direct investment abroad - Total Book Value","Asia and Oceania","Dollars","81","millions","6","v41661486","1.43.1.4","","x","","","0"
"2009","Canada","2016A000011124","Transportation and warehousing [48-49]","Canadian direct investment abroad - Total Book Value","Europe","Dollars","81","millions","6","v41661487","1.43.1.5","4356","","","","0"
"2009","Canada","2016A000011124","Transportation and warehousing [48-49]","Canadian direct investment abroad - Total Book Value","Other countries","Dollars","81","millions","6","v41661488","1.43.1.6","","x","","","0"
"2009","Canada","2016A000011124","Transportation and warehousing [48-49]","Foreign direct investment in Canada - Total Book Value","Total, all countries","Dollars","81","millions","6","v41661489","1.43.2.1","4033","","","","0"
"2009","Canada","2016A000011124","Transportation and warehousing [48-49]","Foreign direct investment in Canada - Total Book Value","United States","Dollars","81","millions","6","v41661490","1.43.2.2","2702","","","","0"
"2009","Canada","2016A000011124","Transportation and warehousing [48-49]","Foreign direct investment in Canada - Total Book Value","Other America","Dollars","81","millions","6","v41661491","1.43.2.3","","x","","","0"
"2009","Canada","2016A000011124","Transportation and warehousing [48-49]","Foreign direct investment in Canada - Total Book Value","Asia and Oceania","Dollars","81","millions","6","v41661492","1.43.2.4","","x","","","0"
"2009","Canada","2016A000011124","Transportation and warehousing [48-49]","Foreign direct investment in Canada - Total Book Value","Europe","Dollars","81","millions","6","v41661493","1.43.2.5","1217","","","","0"
"2009","Canada","2016A000011124","Transportation and warehousing [48-49]","Foreign direct investment in Canada - Total Book Value","Other countries","Dollars","81","millions","6","v41661494","1.43.2.6","","x","","","0"
"2009","Canada","2016A000011124","Information and cultural industries [51]","Canadian direct investment abroad - Total Book Value","Total, all countries","Dollars","81","millions","6","v41661495","1.44.1.1","23018","","","","0"
"2009","Canada","2016A000011124","Information and cultural industries [51]","Canadian direct investment abroad - Total Book Value","United States","Dollars","81","millions","6","v41661496","1.44.1.2","9135","","","","0"
"2009","Canada","2016A000011124","Information and cultural industries [51]","Canadian direct investment abroad - Total Book Value","Other America","Dollars","81","millions","6","v41661497","1.44.1.3","","x","","","0"
"2009","Canada","2016A000011124","Information and cultural industries [51]","Canadian direct investment abroad - Total Book Value","Asia and Oceania","Dollars","81","millions","6","v41661498","1.44.1.4","247","","","","0"
"2009","Canada","2016A000011124","Information and cultural industries [51]","Canadian direct investment abroad - Total Book Value","Europe","Dollars","81","millions","6","v41661499","1.44.1.5","13493","","","","0"
"2009","Canada","2016A000011124","Information and cultural industries [51]","Canadian direct investment abroad - Total Book Value","Other countries","Dollars","81","millions","6","v41661500","1.44.1.6","","x","","","0"
"2009","Canada","2016A000011124","Information and cultural industries [51]","Foreign direct investment in Canada - Total Book Value","Total, all countries","Dollars","81","millions","6","v41661501","1.44.2.1","9749","","","","0"
"2009","Canada","2016A000011124","Information and cultural industries [51]","Foreign direct investment in Canada - Total Book Value","United States","Dollars","81","millions","6","v41661502","1.44.2.2","8242","","","","0"
"2009","Canada","2016A000011124","Information and cultural industries [51]","Foreign direct investment in Canada - Total Book Value","Other America","Dollars","81","millions","6","v41661503","1.44.2.3","","x","","","0"
"2009","Canada","2016A000011124","Information and cultural industries [51]","Foreign direct investment in Canada - Total Book Value","Asia and Oceania","Dollars","81","millions","6","v41661504","1.44.2.4","11","","","","0"
"2009","Canada","2016A000011124","Information and cultural industries [51]","Foreign direct investment in Canada - Total Book Value","Europe","Dollars","81","millions","6","v41661505","1.44.2.5","","x","","","0"
"2009","Canada","2016A000011124","Information and cultural industries [51]","Foreign direct investment in Canada - Total Book Value","Other countries","Dollars","81","millions","6","v41661506","1.44.2.6","","x","","","0"
"2009","Canada","2016A000011124","Finance and insurance [52]","Canadian direct investment abroad - Total Book Value","Total, all countries","Dollars","81","millions","6","v20143894","1.10.1.1","231701","","","","0"
"2009","Canada","2016A000011124","Finance and insurance [52]","Canadian direct investment abroad - Total Book Value","United States","Dollars","81","millions","6","v41661108","1.10.1.2","91802","","","","0"
"2009","Canada","2016A000011124","Finance and insurance [52]","Canadian direct investment abroad - Total Book Value","Other America","Dollars","81","millions","6","v41661109","1.10.1.3","55053","","","","0"
"2009","Canada","2016A000011124","Finance and insurance [52]","Canadian direct investment abroad - Total Book Value","Asia and Oceania","Dollars","81","millions","6","v41661110","1.10.1.4","13542","","","","0"
"2009","Canada","2016A000011124","Finance and insurance [52]","Canadian direct investment abroad - Total Book Value","Europe","Dollars","81","millions","6","v41661111","1.10.1.5","70562","","","","0"
"2009","Canada","2016A000011124","Finance and insurance [52]","Canadian direct investment abroad - Total Book Value","Other countries","Dollars","81","millions","6","v41661112","1.10.1.6","742","","","","0"
"2009","Canada","2016A000011124","Finance and insurance [52]","Foreign direct investment in Canada - Total Book Value","Total, all countries","Dollars","81","millions","6","v20143895","1.10.2.1","82613","","","","0"
"2009","Canada","2016A000011124","Finance and insurance [52]","Foreign direct investment in Canada - Total Book Value","United States","Dollars","81","millions","6","v41661113","1.10.2.2","48807","","","","0"
"2009","Canada","2016A000011124","Finance and insurance [52]","Foreign direct investment in Canada - Total Book Value","Other America","Dollars","81","millions","6","v41661114","1.10.2.3","","x","","","0"
"2009","Canada","2016A000011124","Finance and insurance [52]","Foreign direct investment in Canada - Total Book Value","Asia and Oceania","Dollars","81","millions","6","v41661115","1.10.2.4","6090","","","","0"
"2009","Canada","2016A000011124","Finance and insurance [52]","Foreign direct investment in Canada - Total Book Value","Europe","Dollars","81","millions","6","v41661116","1.10.2.5","26515","","","","0"
"2009","Canada","2016A000011124","Finance and insurance [52]","Foreign direct investment in Canada - Total Book Value","Other countries","Dollars","81","millions","6","v41661117","1.10.2.6","","x","","","0"
"2009","Canada","2016A000011124","Real estate and rental and leasing [53]","Canadian direct investment abroad - Total Book Value","Total, all countries","Dollars","81","millions","6","v41661507","1.45.1.1","8515","","","","0"
"2009","Canada","2016A000011124","Real estate and rental and leasing [53]","Canadian direct investment abroad - Total Book Value","United States","Dollars","81","millions","6","v41661508","1.45.1.2","3636","","","","0"
"2009","Canada","2016A000011124","Real estate and rental and leasing [53]","Canadian direct investment abroad - Total Book Value","Other America","Dollars","81","millions","6","v41661509","1.45.1.3","","x","","","0"
"2009","Canada","2016A000011124","Real estate and rental and leasing [53]","Canadian direct investment abroad - Total Book Value","Asia and Oceania","Dollars","81","millions","6","v41661510","1.45.1.4","","x","","","0"
"2009","Canada","2016A000011124","Real estate and rental and leasing [53]","Canadian direct investment abroad - Total Book Value","Europe","Dollars","81","millions","6","v41661511","1.45.1.5","3698","","","","0"
"2009","Canada","2016A000011124","Real estate and rental and leasing [53]","Canadian direct investment abroad - Total Book Value","Other countries","Dollars","81","millions","6","v41661512","1.45.1.6","","..","","","0"
"2009","Canada","2016A000011124","Real estate and rental and leasing [53]","Foreign direct investment in Canada - Total Book Value","Total, all countries","Dollars","81","millions","6","v41661513","1.45.2.1","5651","","","","0"
"2009","Canada","2016A000011124","Real estate and rental and leasing [53]","Foreign direct investment in Canada - Total Book Value","United States","Dollars","81","millions","6","v41661514","1.45.2.2","2436","","","","0"
"2009","Canada","2016A000011124","Real estate and rental and leasing [53]","Foreign direct investment in Canada - Total Book Value","Other America","Dollars","81","millions","6","v41661515","1.45.2.3","","x","","","0"
"2009","Canada","2016A000011124","Real estate and rental and leasing [53]","Foreign direct investment in Canada - Total Book Value","Asia and Oceania","Dollars","81","millions","6","v41661516","1.45.2.4","263","","","","0"
"2009","Canada","2016A000011124","Real estate and rental and leasing [53]","Foreign direct investment in Canada - Total Book Value","Europe","Dollars","81","millions","6","v41661517","1.45.2.5","2061","","","","0"
"2009","Canada","2016A000011124","Real estate and rental and leasing [53]","Foreign direct investment in Canada - Total Book Value","Other countries","Dollars","81","millions","6","v41661518","1.45.2.6","","x","","","0"
"2009","Canada","2016A000011124","Professional, scientific and technical services [54]","Canadian direct investment abroad - Total Book Value","Total, all countries","Dollars","81","millions","6","v41661519","1.46.1.1","7131","","","","0"
"2009","Canada","2016A000011124","Professional, scientific and technical services [54]","Canadian direct investment abroad - Total Book Value","United States","Dollars","81","millions","6","v41661520","1.46.1.2","5571","","","","0"
