"REF_DATE","GEO","DGUID","Type of reserve","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1953-07","Canada","2016A000011124","Convertible foreign currencies, United States dollars","Dollars","81","millions","6","v122397","1.2","818","","","","0"
"1953-07","Canada","2016A000011124","Gold","Dollars","81","millions","6","v122399","1.4","942","","","","0"
"1953-07","Canada","2016A000011124","Reserve position in the International Monetary Fund (IMF)","Dollars","81","millions","6","v122401","1.6","75","","","","0"
"1953-08","Canada","2016A000011124","Total, Canada's official international reserves","Dollars","81","millions","6","v122396","1.1","1844","","","","0"
"1953-08","Canada","2016A000011124","Convertible foreign currencies, United States dollars","Dollars","81","millions","6","v122397","1.2","818","","","","0"
"1953-08","Canada","2016A000011124","Gold","Dollars","81","millions","6","v122399","1.4","951","","","","0"
"1953-08","Canada","2016A000011124","Reserve position in the International Monetary Fund (IMF)","Dollars","81","millions","6","v122401","1.6","75","","","","0"
"1953-09","Canada","2016A000011124","Total, Canada's official international reserves","Dollars","81","millions","6","v122396","1.1","1869","","","","0"
"1953-09","Canada","2016A000011124","Convertible foreign currencies, United States dollars","Dollars","81","millions","6","v122397","1.2","834","","","","0"
"1953-09","Canada","2016A000011124","Gold","Dollars","81","millions","6","v122399","1.4","960","","","","0"
"1953-09","Canada","2016A000011124","Reserve position in the International Monetary Fund (IMF)","Dollars","81","millions","6","v122401","1.6","75","","","","0"
"1953-10","Canada","2016A000011124","Total, Canada's official international reserves","Dollars","81","millions","6","v122396","1.1","1867","","","","0"
"1953-10","Canada","2016A000011124","Convertible foreign currencies, United States dollars","Dollars","81","millions","6","v122397","1.2","824","","","","0"
"1953-10","Canada","2016A000011124","Gold","Dollars","81","millions","6","v122399","1.4","968","","","","0"
"1953-10","Canada","2016A000011124","Reserve position in the International Monetary Fund (IMF)","Dollars","81","millions","6","v122401","1.6","75","","","","0"
"1953-11","Canada","2016A000011124","Total, Canada's official international reserves","Dollars","81","millions","6","v122396","1.1","1887","","","","0"
"1953-11","Canada","2016A000011124","Convertible foreign currencies, United States dollars","Dollars","81","millions","6","v122397","1.2","836","","","","0"
"1953-11","Canada","2016A000011124","Gold","Dollars","81","millions","6","v122399","1.4","976","","","","0"
"1953-11","Canada","2016A000011124","Reserve position in the International Monetary Fund (IMF)","Dollars","81","millions","6","v122401","1.6","75","","","","0"
"1953-12","Canada","2016A000011124","Total, Canada's official international reserves","Dollars","81","millions","6","v122396","1.1","1900","","","","0"
"1953-12","Canada","2016A000011124","Convertible foreign currencies, United States dollars","Dollars","81","millions","6","v122397","1.2","839","","","","0"
"1953-12","Canada","2016A000011124","Gold","Dollars","81","millions","6","v122399","1.4","986","","","","0"
"1953-12","Canada","2016A000011124","Reserve position in the International Monetary Fund (IMF)","Dollars","81","millions","6","v122401","1.6","75","","","","0"
"1954-01","Canada","2016A000011124","Total, Canada's official international reserves","Dollars","81","millions","6","v122396","1.1","1916","","","","0"
"1954-01","Canada","2016A000011124","Convertible foreign currencies, United States dollars","Dollars","81","millions","6","v122397","1.2","843","","","","0"
"1954-01","Canada","2016A000011124","Gold","Dollars","81","millions","6","v122399","1.4","997","","","","0"
"1954-01","Canada","2016A000011124","Reserve position in the International Monetary Fund (IMF)","Dollars","81","millions","6","v122401","1.6","75","","","","0"
"1954-02","Canada","2016A000011124","Total, Canada's official international reserves","Dollars","81","millions","6","v122396","1.1","1937","","","","0"
"1954-02","Canada","2016A000011124","Convertible foreign currencies, United States dollars","Dollars","81","millions","6","v122397","1.2","854","","","","0"
"1954-02","Canada","2016A000011124","Gold","Dollars","81","millions","6","v122399","1.4","1008","","","","0"
"1954-02","Canada","2016A000011124","Reserve position in the International Monetary Fund (IMF)","Dollars","81","millions","6","v122401","1.6","75","","","","0"
"1954-03","Canada","2016A000011124","Total, Canada's official international reserves","Dollars","81","millions","6","v122396","1.1","1911","","","","0"
"1954-03","Canada","2016A000011124","Convertible foreign currencies, United States dollars","Dollars","81","millions","6","v122397","1.2","820","","","","0"
"1954-03","Canada","2016A000011124","Gold","Dollars","81","millions","6","v122399","1.4","1016","","","","0"
"1954-03","Canada","2016A000011124","Reserve position in the International Monetary Fund (IMF)","Dollars","81","millions","6","v122401","1.6","75","","","","0"
"1954-04","Canada","2016A000011124","Total, Canada's official international reserves","Dollars","81","millions","6","v122396","1.1","1897","","","","0"
