"REF_DATE","GEO","DGUID","Receipts, payments and balances","Current account and capital account","Countries or regions","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1981","Canada","2016A000011124","Receipts","Travel","All other countries","Dollars","81","millions","6","v61914349","1.1.6.8","498","","","","0"
"1981","Canada","2016A000011124","Receipts","Transportation","All countries","Dollars","81","millions","6","v61914350","1.1.7.1","3218","","","","0"
"1981","Canada","2016A000011124","Receipts","Transportation","United States","Dollars","81","millions","6","v61914351","1.1.7.2","1156","","","","0"
"1981","Canada","2016A000011124","Receipts","Transportation","United Kingdom","Dollars","81","millions","6","v61914352","1.1.7.3","415","","","","0"
"1981","Canada","2016A000011124","Receipts","Transportation","Foreign countries other than United States and United Kingdom","Dollars","81","millions","6","v61914353","1.1.7.4","1648","","","","0"
"1981","Canada","2016A000011124","Receipts","Transportation","Other European Union countries","Dollars","81","millions","6","v61914354","1.1.7.5","526","","","","0"
"1981","Canada","2016A000011124","Receipts","Transportation","Japan","Dollars","81","millions","6","v61914355","1.1.7.6","233","","","","0"
"1981","Canada","2016A000011124","Receipts","Transportation","Other Organisation for Economic Co-operation and Development (OECD) countries","Dollars","81","millions","6","v61914356","1.1.7.7","211","","","","0"
"1981","Canada","2016A000011124","Receipts","Transportation","All other countries","Dollars","81","millions","6","v61914357","1.1.7.8","678","","","","0"
"1981","Canada","2016A000011124","Receipts","Other services","All countries","Dollars","81","millions","6","v61914358","1.1.8.1","4334","","","","0"
"1981","Canada","2016A000011124","Receipts","Other services","United States","Dollars","81","millions","6","v61914359","1.1.8.2","2160","","","","0"
"1981","Canada","2016A000011124","Receipts","Other services","United Kingdom","Dollars","81","millions","6","v61914360","1.1.8.3","225","","","","0"
"1981","Canada","2016A000011124","Receipts","Other services","Foreign countries other than United States and United Kingdom","Dollars","81","millions","6","v61914361","1.1.8.4","1949","","","","0"
"1981","Canada","2016A000011124","Receipts","Other services","Other European Union countries","Dollars","81","millions","6","v61914362","1.1.8.5","310","","","","0"
"1981","Canada","2016A000011124","Receipts","Other services","Japan","Dollars","81","millions","6","v61914363","1.1.8.6","51","","","","0"
"1981","Canada","2016A000011124","Receipts","Other services","Other Organisation for Economic Co-operation and Development (OECD) countries","Dollars","81","millions","6","v61914364","1.1.8.7","134","","","","0"
"1981","Canada","2016A000011124","Receipts","Other services","All other countries","Dollars","81","millions","6","v61914365","1.1.8.8","1454","","","","0"
"1981","Canada","2016A000011124","Receipts","Commercial services","All countries","Dollars","81","millions","6","v61914366","1.1.9.1","3782","","","","0"
"1981","Canada","2016A000011124","Receipts","Commercial services","United States","Dollars","81","millions","6","v61914367","1.1.9.2","1992","","","","0"
"1981","Canada","2016A000011124","Receipts","Commercial services","United Kingdom","Dollars","81","millions","6","v61914368","1.1.9.3","208","","","","0"
"1981","Canada","2016A000011124","Receipts","Commercial services","Foreign countries other than United States and United Kingdom","Dollars","81","millions","6","v61914369","1.1.9.4","1582","","","","0"
"1981","Canada","2016A000011124","Receipts","Commercial services","Other European Union countries","Dollars","81","millions","6","v61914370","1.1.9.5","267","","","","0"
"1981","Canada","2016A000011124","Receipts","Commercial services","Japan","Dollars","81","millions","6","v61914371","1.1.9.6","43","","","","0"
"1981","Canada","2016A000011124","Receipts","Commercial services","Other Organisation for Economic Co-operation and Development (OECD) countries","Dollars","81","millions","6","v61914372","1.1.9.7","114","","","","0"
